Campaign_ID,Customer_ID,Campaign_Date,Campaign_Type,Offer_Type,Offer_Value,Contact_Channel,Customer_Contacted,Customer_Response,Offer_Accepted,Retained_After_Offer,Retention_Cost,Follow_Up_Date
CMP-708031,NXT-104385,2024-01-28,"Win Back","Reduced Monthly Fee",38.54,SMS,Yes,Interested,No,No,0.33,2024-02-24
CMP-724831,NXT-113214,2025-04-06,"At Risk","Free Upgrade",75.49,Email,Yes,Interested,No,No,2.49,2025-04-16
CMP-704427,NXT-102447,2025-04-20,"High Value Customer",Discount,7.66,SMS,No,,No,Yes,2.89,2025-05-06
CMP-722832,NXT-112116,2025-03-06,"Contract Renewal","Device Upgrade",73.88,Email,Yes,"Not Interested",No,Yes,2.58,2025-03-22
CMP-713174,NXT-107036,2025-10-07,"Win Back","Device Upgrade",44.94,SMS,Yes,Interested,No,yes,2.83,2025-11-02
CMP-710202,NXT-105475,2025-09-19,"Contract Renewal","Bonus Minutes",293.00,Email,No,,No,Yes,2.55,2025-09-23
CMP-726343,NXT-114010,2023-10-15,"Contract Renewal","Bonus Minutes",456.00,SMS,Yes,"Not Interested",No,No,0.11,2023-11-14
CMP-711171,NXT-105982,2025-05-06,"High Value Customer","BONUS MINUTES",203.00,Phone,Yes,"No Response",No,Yes,2.85,2025-05-15
CMP-715575,NXT-108312,2024-03-13,"At Risk","Free Upgrade",13.13,"App Notification",Yes,"Not Interested",No,No,1.86,2024-04-04
CMP-724441,NXT-113030,2025-07-21,"Contract Renewal","Reduced Monthly Fee",16.46,Email,Yes,Interested,Yes,Yes,43.38,2025-08-12
CMP-712451,NXT-106681,2024-11-15,"At Risk","Free Data",6.30,Email,Yes,"No Response",No,No,1.65,2024-12-03
CMP-722340,NXT-111881,2024-11-19,"High Value Customer",Discount,38.40,SMS,Yes,"Not Interested",No,Yes,1.89,2024-11-24
CMP-710791,NXT-105788,2024-07-30,"Win Back","Contract Upgrade",20.26,WhatsApp,Yes,"Requested More Info",No,Yes,1.15,2024-08-14
CMP-713305,NXT-107096,2024-02-26,"High Value Customer","Free Data",15.00,SMS,Yes,Interested,Yes,Yes,32.13,2024-03-05
CMP-702168,NXT-101200,2024-09-27,"high value customer",Discount,16.29,SMS,Yes,"Not Interested",No,Yes,1.95,2024-10-09
CMP-704177,NXT-102324,2025-01-31,"At Risk","Reduced Monthly Fee",10.47,Phone,Yes,"Requested More Info",No,No,0.12,2025-02-11
CMP-713500,NXT-107186,2024-01-20,"Network Recovery",Discount,21.30,"App Notification",Yes,"Not Interested",No,No,0.81,2024-02-09
CMP-711631,NXT-106230,2025-11-20,"LOYALTY CAMPAIGN","Bonus Minutes",485.00,Email,Yes,Interested,Yes,Yes,26.52,2025-12-12
CMP-700949,NXT-100518,2024-03-24,"High Value Customer","Device Upgrade",48.00,Email,Yes,"Not Interested",No,Yes,1.62,2024-04-07
CMP-701530,NXT-100845,2025-12-22,"Win Back","Free Data",19.10,Email,Yes,"Not Interested",No,Yes,2.89,2026-01-04
CMP-706857,NXT-103754,2025-03-16,"Loyalty Campaign","Device Upgrade",67.31,WhatsApp,Yes,"Not Interested",No,No,1.41,2025-04-09
CMP-722005,NXT-111702,2024-11-19,"Contract Renewal","Contract Upgrade",96.01,"APP NOTIFICATION",Yes,"Not Interested",No,No,1.43,2024-12-12
CMP-717217,NXT-109165,2025-03-15,"High Value Customer","Reduced Monthly Fee",37.69,"App Notification",Yes,"Requested More Info",No,No,1.02,2025-04-03
CMP-724031,NXT-112813,2025-10-20,"CONTRACT RENEWAL","Device Upgrade",92.33,"App Notification",Yes,"Requested More Info",No,Yes,1.04,2025-10-28
CMP-705110,NXT-102797,2025-05-22,"At Risk","Reduced Monthly Fee",10.54,Email,Yes,"No Response",No,No,1.70,2025-06-10
CMP-717469,NXT-109305,2025-04-19,"Loyalty Campaign","Contract Upgrade",79.87,Email,No,,No,Yes,1.06,2025-05-19
CMP-716601,NXT-108840,2024-11-13,"Contract Renewal","Free Data",NULL,"App Notification",No,,No,No,0.32,2024-11-18
CMP-713238,NXT-107063,2023-12-01,"High Value Customer","Free Upgrade",11.61,WhatsApp,Yes,"Not Interested",No,No,2.39,2023-12-11
CMP-727508,NXT-114625,2025-12-15,"High Value Customer","Reduced Monthly Fee",6.67,Email,Yes,"Not Interested",No,Yes,1.58,2025-12-20
CMP-709986,NXT-105369,2025-02-01,"Contract Renewal",Discount,39.95,SMS,No,,No,No,0.97,2025-02-27
CMP-722133,NXT-111765,2025-05-12,"Win Back","Free Upgrade",0.66,Email,No,,No,No,1.75,2025-06-03
CMP-720772,NXT-111021,2023-07-19,"Network Recovery","Reduced Monthly Fee",38.84,Email,Yes,"No Response",No,No,0.29,2023-07-27
CMP-714637,NXT-107801,2025-04-03,"Loyalty Campaign","Free Upgrade",24.24,Phone,Yes,"No Response",No,Yes,2.24,2025-04-27
CMP-701266,NXT-100702,2024-09-01,"Contract Renewal","Reduced Monthly Fee",8.72,Phone,Yes,"No Response",no,No,2.24,2024-09-13
CMP-725753,NXT-113695,2025-10-19,"Contract Renewal","Free Upgrade",3.06,SMS,Yes,"Not Interested",No,No,1.03,2025-11-12
CMP-706228,NXT-103398,2025-12-27,"At Risk","Contract Upgrade",9.76,Email,Yes,Interested,Yes,No,NULL,2026-01-07
CMP-716839,NXT-108958,2025-07-13,"Loyalty Campaign",Discount,10.98,WhatsApp,Yes,"Not Interested",No,No,1.39,2025-08-06
CMP-726408,NXT-114041,2025-12-17,"High Value Customer",Discount,32.61,SMS,Yes,"No Response",No,Yes,1.40,2026-01-06
CMP-722895,NXT-112150,2025-08-06,"Network Recovery","Bonus Minutes",289.00,Email,Yes,"Not Interested",No,No,0.61,2025-08-15
CMP-709574,NXT-105158,2025-10-21,"High Value Customer","Contract Upgrade",98.40,WHATSAPP,No,,No,No,0.49,2025-10-29
CMP-710572,NXT-105677,2025-08-27,"Loyalty Campaign","Bonus Minutes",236.00,"App Notification",Yes,Interested,No,Yes,0.58,2025-09-19
CMP-725111,NXT-113363,2025-03-01,"High Value Customer","Bonus Minutes",406.00,WhatsApp,Yes,"Requested More Info",No,Yes,0.57,2025-03-09
CMP-721462,NXT-111389,2023-08-26,"At Risk","Reduced Monthly Fee",29.18,Phone,Yes,,No,Yes,2.77,2023-09-02
CMP-718770,NXT-109971,2025-12-25,"At Risk","Free Upgrade",62.19,SMS,Yes,,No,Yes,1.19,2026-01-22
CMP-704686,NXT-102599,2024-09-13,"Contract Renewal","Reduced Monthly Fee",8.28,Email,Yes,"Requested More Info",No,No,0.09,2024-09-26
CMP-726780,NXT-114224,2025-11-05,"Loyalty Campaign","Device Upgrade",27.15,SMS,Yes,"Not Interested",No,Yes,2.61,2025-11-17
CMP-715651,NXT-108349,2025-07-29,"At Risk","Device Upgrade",8.81,SMS,Yes,"No Response",No,No,0.10,2025-08-05
CMP-711381,NXT-106092,2024-09-19,"High Value Customer","Bonus Minutes",453.00,WhatsApp,Yes,"No Response",No,No,0.34,2024-09-24
CMP-717359,NXT-109237,2025-10-02,"High Value Customer","Bonus Minutes",463.00,Email,Yes,Interested,Yes,Yes,33.97,2025-10-08
CMP-721737,NXT-111545,2025-09-06,"Loyalty Campaign","Contract Upgrade",7.94,"App Notification",No,,No,No,2.75,2025-09-14
CMP-720475,NXT-110873,2025-12-07,"Contract Renewal","Device Upgrade",33.82,Phone,Yes,"No Response",No,Yes,1.51,2026-01-04
CMP-718801,NXT-109985,2023-10-11,"Win Back","Free Data",17.10,SMS,Yes,"Not Interested",No,No,0.31,2023-11-10
CMP-707949,NXT-104341,2025-04-27,"High Value Customer","Contract Upgrade",71.82,"App Notification",Yes,"Not Interested",No,Yes,1.92,2025-05-19
CMP-709361,NXT-105054,2023-09-26,"High Value Customer","Free Upgrade",80.46,Email,Yes,"No Response",No,Yes,0.82,2023-10-15
CMP-713968,NXT-107451,2025-06-04,"High Value Customer","Free Upgrade",76.25,WhatsApp,YES,"Not Interested",No,Yes,1.50,2025-06-20
CMP-723647,NXT-112595,2024-03-26,"At Risk","Contract Upgrade",30.58,Phone,Yes,Interested,Yes,Yes,53.17,2024-04-03
CMP-712806,NXT-106846,2025-06-30,"At Risk",Discount,20.59,WhatsApp,Yes,Interested,Yes,No,59.72,2025-07-04
CMP-713870,NXT-107385,2023-09-17,"CONTRACT RENEWAL",Discount,27.54,WhatsApp,No,,No,No,0.98,2023-10-04
CMP-727997,NXT-114900,2025-12-11,"High Value Customer","Reduced Monthly Fee",15.06,WhatsApp,Yes,"Not Interested",No,Yes,1.82,2026-01-04
CMP-705740,NXT-103145,2024-12-12,"Win Back","Free Upgrade",22.99,Email,Yes,"No Response",No,No,0.23,2024-12-26
CMP-723414,NXT-112461,2023-07-05,"Network Recovery","Free Data",9.00,Phone,Yes,"Not Interested",No,Yes,2.98,2023-08-04
CMP-710473,NXT-105629,2024-10-31,"Network Recovery","Reduced Monthly Fee",7.25,Phone,Yes,"Requested More Info",No,No,0.13,2024-11-26
CMP-706888,NXT-103776,2025-02-09,"Loyalty Campaign",Discount,38.77,Phone,No,,No,No,2.37,2025-02-14
CMP-703328,NXT-101856,2025-01-28,"At Risk","Free Upgrade",42.24,Email,No,,No,No,1.90,2025-02-27
CMP-709783,NXT-105268,2025-01-25,"At Risk","Contract Upgrade",98.36,SMS,No,,No,No,0.43,2025-02-01
CMP-706525,NXT-103562,2024-08-24,"Loyalty Campaign","Free Data",14.20,SMS,Yes,"Not Interested",No,No,0.14,2024-08-28
CMP-713289,NXT-107090,2025-08-24,"Contract Renewal","Reduced Monthly Fee",8.53,Email,Yes,"No Response",No,Yes,0.05,2025-08-30
CMP-711876,NXT-106367,2025-11-27,"Win Back","Device Upgrade",4.78,"App Notification",Yes,"Not Interested",No,Yes,1.40,2025-12-27
CMP-701278,NXT-100709,2023-06-14,"Network Recovery","Free Upgrade",NULL,"APP NOTIFICATION",No,,No,no,1.47,2023-06-18
CMP-700743,NXT-100406,2025-07-02,"High Value Customer","Bonus Minutes",423.00,WhatsApp,Yes,Interested,Yes,No,31.48,2025-07-16
CMP-718105,NXT-109622,2024-07-21,"High Value Customer","Bonus Minutes",344.00,Phone,Yes,Interested,No,No,1.88,2024-08-01
CMP-716925,NXT-109000,2024-09-29,"High Value Customer","Contract Upgrade",51.65,Phone,Yes,"Not Interested",No,No,1.78,2024-10-12
CMP-714804,NXT-107879,2024-07-13,"Network Recovery","Reduced Monthly Fee",27.94,"App Notification",Yes,"Not Interested",No,No,2.37,2024-07-28
CMP-700127,NXT-100062,2025-02-27,"Win Back","Reduced Monthly Fee",35.51,Email,no,,No,No,2.94,2025-03-24
CMP-710313,NXT-105537,2025-09-16,"High Value Customer","Free Data",9.00,SMS,No,,No,No,0.65,2025-09-20
CMP-706786,NXT-103717,2023-12-20,"High Value Customer",Discount,21.99,WhatsApp,Yes,"Not Interested",No,No,2.43,2023-12-28
CMP-714250,NXT-107586,2025-07-16,"Win Back","Contract Upgrade",95.87,Phone,No,,No,No,0.63,2025-07-28
CMP-724228,NXT-112916,2025-10-14,"At Risk","Free Upgrade",8.29,WhatsApp,No,,No,No,2.10,2025-10-25
CMP-721704,NXT-111529,2025-08-28,"At Risk","Device Upgrade",34.54,Phone,YES,"No Response",No,Yes,0.16,2025-09-12
CMP-725287,NXT-113446,2024-03-15,"loyalty campaign","Device Upgrade",40.31,SMS,No,,No,No,2.25,2024-03-25
CMP-722516,NXT-111969,2025-05-10,"Loyalty Campaign","Device Upgrade",NULL,WhatsApp,Yes,"Not Interested",no,Yes,2.89,2025-06-08
CMP-709591,NXT-105165,2024-11-14,"High Value Customer","Free Upgrade",67.71,WhatsApp,Yes,"Not Interested",No,No,2.08,2024-12-08
CMP-709384,NXT-105066,2024-10-13,"Loyalty Campaign","Contract Upgrade",53.33,WhatsApp,Yes,"Not Interested",No,Yes,2.51,2024-10-25
CMP-718993,NXT-110073,2023-12-20,"Win Back","Free Upgrade",66.16,Phone,No,,No,Yes,1.90,2023-12-31
CMP-721989,NXT-111694,2025-02-12,"High Value Customer","Device Upgrade",54.61,Email,Yes,Interested,Yes,Yes,8.90,2025-03-05
CMP-711062,NXT-105932,2023-12-03,"Loyalty Campaign","Device Upgrade",NULL,Email,No,,No,No,0.31,2023-12-08
CMP-702093,NXT-101160,2024-02-16,"Loyalty Campaign","Free Upgrade",85.46,WhatsApp,Yes,"No Response",No,No,1.25,2024-02-28
CMP-714211,NXT-107572,2025-04-02,"At Risk",Discount,37.44,WhatsApp,Yes,Interested,Yes,Yes,28.17,2025-04-14
CMP-711479,NXT-106143,2024-09-15,"High Value Customer","Reduced Monthly Fee",NULL,Email,Yes,"No Response",No,No,2.74,2024-10-06
CMP-717946,NXT-109546,2025-06-25,"High Value Customer",Discount,20.33,"App Notification",Yes,"No Response",No,Yes,1.32,2025-07-24
CMP-720202,NXT-110722,2025-06-06,"High Value Customer","Free Data",9.10,"App Notification",Yes,Interested,Yes,No,NULL,2025-06-15
CMP-709659,NXT-105199,2025-07-04,"Contract Renewal",Discount,27.50,WhatsApp,Yes,Interested,No,No,1.31,2025-07-21
CMP-715097,NXT-108042,2025-04-30,"CONTRACT RENEWAL","Free Data",19.70,Phone,Yes,Interested,No,Yes,0.08,2025-05-29
CMP-701535,NXT-100848,2025-11-22,"Loyalty Campaign","Contract Upgrade",94.60,Email,No,,No,Yes,1.22,2025-12-19
CMP-708825,NXT-104795,2024-12-17,"Contract Renewal","Free Upgrade",18.93,Phone,Yes,"Not Interested",No,No,1.83,2025-01-13
CMP-700796,NXT-100435,2025-05-28,"Win Back","Device Upgrade",NULL,Phone,Yes,Interested,No,No,2.13,2025-06-13
CMP-709018,NXT-104888,2025-11-21,"Loyalty Campaign","Contract Upgrade",64.76,"App Notification",No,,No,Yes,1.32,2025-12-18
CMP-723309,NXT-112391,2025-10-14,"Loyalty Campaign","Reduced Monthly Fee",27.89,WhatsApp,Yes,"Not Interested",No,No,NULL,2025-10-28
CMP-706912,NXT-103789,2024-08-19,"Win Back","Free Data",5.40,Email,No,,No,Yes,1.27,2024-09-08
CMP-711485,NXT-106146,2025-09-05,"High Value Customer","Device Upgrade",40.09,SMS,Yes,"No Response",No,Yes,1.64,2025-10-01
CMP-718810,NXT-109987,2025-10-16,"High Value Customer","Contract Upgrade",59.83,EMAIL,Yes,"Not Interested",No,No,2.01,2025-11-12
CMP-721699,NXT-111527,2025-12-29,"High Value Customer",Discount,36.65,"App Notification",No,,No,yes,1.72,2026-01-20
CMP-725816,NXT-113727,2024-07-12,"Contract Renewal","Contract Upgrade",13.20,Phone,Yes,"Requested More Info",No,Yes,2.52,2024-07-28
CMP-708578,NXT-104657,2024-09-27,"Contract Renewal","Contract Upgrade",54.47,WhatsApp,Yes,"Not Interested",No,Yes,0.14,2024-10-11
CMP-705962,NXT-103263,2024-06-07,"Loyalty Campaign","Contract Upgrade",39.26,SMS,No,,No,Yes,2.66,2024-06-27
CMP-710109,NXT-105432,2025-08-12,"Loyalty Campaign","Contract Upgrade",56.23,SMS,Yes,"No Response",No,No,2.90,2025-08-27
CMP-719753,NXT-110494,2025-01-22,"Contract Renewal","Free Upgrade",NULL,SMS,Yes,Interested,no,No,0.93,2025-02-06
CMP-727551,NXT-114654,2025-11-09,"Loyalty Campaign","Free Data",9.60,Phone,Yes,"Requested More Info",No,Yes,2.36,2025-11-16
CMP-712648,NXT-106773,2024-02-15,"Loyalty Campaign","Contract Upgrade",89.44,Phone,Yes,"Not Interested",No,No,NULL,2024-02-25
CMP-719209,NXT-110190,2025-08-10,"Loyalty Campaign","Reduced Monthly Fee",14.60,SMS,YES,Interested,No,Yes,1.09,2025-09-09
CMP-725757,NXT-113696,2025-09-10,"At Risk","Device Upgrade",65.15,Email,No,,No,No,1.60,2025-09-20
CMP-702133,NXT-101182,2024-01-11,"Win Back",Discount,36.35,Email,Yes,"No Response",No,No,2.48,2024-02-10
CMP-710818,NXT-105808,2024-09-29,"Contract Renewal","Contract Upgrade",81.71,SMS,Yes,"Not Interested",No,No,1.83,2024-10-06
CMP-722917,NXT-112164,2025-12-18,"Contract Renewal",Discount,28.42,Phone,Yes,"No Response",No,Yes,0.60,2025-12-22
CMP-721992,NXT-111695,2025-08-30,"At Risk","Device Upgrade",30.30,Phone,Yes,"No Response",No,Yes,0.05,2025-09-03
CMP-728168,NXT-114984,2024-03-24,"Win Back","Device Upgrade",62.12,Email,Yes,"Not Interested",No,No,0.27,2024-04-05
CMP-727576,NXT-114666,2023-10-01,"Contract Renewal",Discount,13.20,SMS,No,,No,No,2.73,2023-10-19
CMP-712637,NXT-106768,2024-12-24,"Contract Renewal","Bonus Minutes",300.00,SMS,Yes,Interested,Yes,Yes,29.52,2025-01-21
CMP-719527,NXT-110358,2025-10-02,"At Risk",Discount,7.50,EMAIL,No,,No,No,2.51,2025-10-06
CMP-717274,NXT-109190,2024-11-20,"At Risk","Free Upgrade",12.59,Email,Yes,"Not Interested",No,No,2.92,2024-12-09
CMP-701139,NXT-100628,2023-12-26,"High Value Customer","Device Upgrade",14.39,WhatsApp,Yes,Interested,Yes,Yes,56.86,2023-12-29
CMP-725826,NXT-113731,2025-06-12,"Contract Renewal","Free Upgrade",28.15,WhatsApp,Yes,"Not Interested",No,Yes,2.92,2025-07-12
CMP-720633,NXT-110956,2025-06-11,"At Risk","Free Data",5.20,WHATSAPP,Yes,,No,No,2.46,2025-06-30
CMP-712554,NXT-106731,2025-09-12,"Loyalty Campaign",Discount,38.43,"App Notification",Yes,"Requested More Info",No,Yes,1.13,2025-10-03
CMP-720211,NXT-110728,2024-09-20,"Contract Renewal","Reduced Monthly Fee",7.58,Email,Yes,"Not Interested",NO,Yes,1.59,2024-10-18
CMP-727531,NXT-114644,2025-06-19,"At Risk","Free Data",3.80,"App Notification",Yes,Interested,no,No,0.75,2025-06-22
CMP-719348,NXT-110264,2025-06-29,"Contract Renewal","Device Upgrade",70.54,WhatsApp,Yes,"Not Interested",No,No,0.22,2025-07-29
CMP-710229,NXT-105491,2025-08-20,"Loyalty Campaign","Reduced Monthly Fee",24.54,"App Notification",Yes,"Not Interested",No,Yes,1.83,2025-09-13
CMP-712751,NXT-106824,2024-10-05,"At Risk",Discount,18.26,"App Notification",Yes,"Not Interested",No,Yes,1.33,2024-11-02
CMP-716321,NXT-108698,2024-03-25,"High Value Customer","Bonus Minutes",80.00,Email,Yes,"Not Interested",No,No,0.36,2024-03-30
CMP-720837,NXT-111063,2025-09-26,"Loyalty Campaign","Free Data",5.40,Phone,Yes,Interested,no,Yes,1.96,2025-10-05
CMP-715250,NXT-108132,2025-09-28,"Win Back",DISCOUNT,9.04,SMS,Yes,"Not Interested",No,No,1.46,2025-10-06
CMP-722372,NXT-111898,2024-05-13,"Contract Renewal","Device Upgrade",56.51,Email,No,,No,No,0.16,2024-05-25
CMP-701046,NXT-100583,2023-05-30,"High Value Customer","Contract Upgrade",20.81,WhatsApp,Yes,"Not Interested",No,YES,2.01,2023-06-08
CMP-724094,NXT-112842,2025-05-18,"win back","Free Data",2.30,Phone,Yes,"No Response",No,No,1.73,2025-06-02
CMP-719106,NXT-110130,2025-08-29,"High Value Customer",Discount,22.30,"App Notification",Yes,"Not Interested",No,Yes,1.04,2025-09-07
CMP-714388,NXT-107676,2025-10-13,"At Risk","Contract Upgrade",39.57,Email,Yes,"No Response",No,No,0.51,2025-11-03
CMP-713768,NXT-107326,2025-03-11,"High Value Customer",Discount,36.40,Email,Yes,"No Response",No,No,1.53,2025-04-01
CMP-701921,NXT-101068,2023-07-07,"Loyalty Campaign",Discount,16.18,"App Notification",Yes,Interested,Yes,Yes,57.98,2023-07-17
CMP-713715,NXT-107303,2025-01-05,"At Risk","Bonus Minutes",492.00,WhatsApp,No,,No,No,0.91,2025-01-08
CMP-715430,NXT-108231,2024-04-07,"High Value Customer","Reduced Monthly Fee",12.23,Email,Yes,Interested,Yes,No,NULL,2024-04-27
CMP-717648,NXT-109400,2024-10-30,"High Value Customer","bonus minutes",205.00,"App Notification",yes,"No Response",No,No,0.60,2024-11-26
CMP-706915,NXT-103791,2025-08-14,"Win Back","Reduced Monthly Fee",11.59,Email,Yes,"Not Interested",No,No,1.16,2025-08-31
CMP-726728,NXT-114197,2025-09-02,"High Value Customer","Reduced Monthly Fee",31.03,"App Notification",Yes,"Requested More Info",no,No,2.42,2025-09-09
CMP-721956,NXT-111667,2025-06-29,"High Value Customer","Device Upgrade",79.51,SMS,Yes,"Not Interested",No,Yes,2.71,2025-07-16
CMP-712107,NXT-106496,2025-02-13,"Contract Renewal","Device Upgrade",57.56,Phone,Yes,"Requested More Info",No,No,1.34,2025-03-13
CMP-721698,NXT-111527,2024-11-25,"High Value Customer","Free Data",18.20,"App Notification",Yes,Interested,No,No,1.80,2024-12-09
CMP-708707,NXT-104726,2025-05-19,"High Value Customer","Device Upgrade",57.81,"App Notification",Yes,Interested,Yes,Yes,8.38,2025-06-13
CMP-704883,NXT-102694,2025-01-16,"High Value Customer","Free Upgrade",14.10,SMS,Yes,"Not Interested",No,No,2.52,2025-01-28
CMP-721708,NXT-111531,2025-01-30,"At Risk","Device Upgrade",24.54,WhatsApp,yes,"Not Interested",No,No,1.49,2025-02-26
CMP-723724,NXT-112627,2025-04-03,"Loyalty Campaign",Discount,26.12,SMS,No,,No,Yes,0.61,2025-04-25
CMP-722590,NXT-112006,2024-03-28,"High Value Customer","Reduced Monthly Fee",34.99,WhatsApp,No,,No,Yes,2.68,2024-04-06
CMP-713502,NXT-107186,2023-08-04,"High Value Customer","Free Data",18.00,Phone,Yes,"No Response",NO,No,1.91,2023-08-31
CMP-711100,NXT-105954,2024-11-22,"Contract Renewal","Reduced Monthly Fee",25.45,WhatsApp,no,,No,No,0.30,2024-12-07
CMP-721838,NXT-111587,2024-10-13,"Loyalty Campaign","bonus minutes",301.00,WhatsApp,No,,No,Yes,1.86,2024-10-31
CMP-700997,NXT-100549,2025-02-07,"Loyalty Campaign","Free Data",19.50,SMS,Yes,"Not Interested",No,No,0.44,2025-03-07
CMP-719355,NXT-110267,2024-11-06,"Contract Renewal","Free Data",18.90,WhatsApp,Yes,Interested,Yes,Yes,14.33,2024-11-29
CMP-726498,NXT-114089,2025-10-12,"High Value Customer","Reduced Monthly Fee",25.90,Phone,Yes,"No Response",No,No,0.64,2025-11-07
CMP-723344,NXT-112415,2025-02-21,"At Risk","Device Upgrade",2.49,SMS,Yes,"Requested More Info",No,No,2.08,2025-03-09
CMP-714609,NXT-107790,2025-08-04,"Contract Renewal","Device Upgrade",85.12,"App Notification",YES,"Not Interested",No,No,2.49,2025-08-17
CMP-720416,NXT-110833,2025-02-04,"At Risk","Contract Upgrade",69.12,Phone,Yes,Interested,Yes,YES,18.42,2025-02-20
CMP-727969,NXT-114882,2024-07-21,"Contract Renewal","Contract Upgrade",13.33,WhatsApp,Yes,Interested,Yes,Yes,19.19,2024-08-02
CMP-705106,NXT-102795,2025-07-30,"Contract Renewal","Bonus Minutes",352.00,"App Notification",Yes,Interested,No,Yes,2.87,2025-08-02
CMP-704027,NXT-102238,2025-11-25,"Win Back","Free Data",9.40,Phone,No,,No,No,1.65,2025-12-25
CMP-720123,NXT-110686,2024-10-13,"At Risk","Reduced Monthly Fee",35.18,Phone,YES,"Not Interested",No,No,0.19,2024-10-25
CMP-710193,NXT-105472,2024-11-07,"Contract Renewal","Device Upgrade",3.12,Email,Yes,"No Response",No,No,0.57,2024-12-03
CMP-703592,NXT-102000,2024-02-25,"High Value Customer","Contract Upgrade",99.61,Email,Yes,Interested,Yes,No,58.69,2024-03-21
CMP-702724,NXT-101504,2025-07-07,"Contract Renewal","Contract Upgrade",NULL,"App Notification",Yes,"Not Interested",No,Yes,0.23,2025-07-13
CMP-704217,NXT-102339,2025-10-08,"High Value Customer","Bonus Minutes",252.00,"App Notification",Yes,Interested,No,No,1.51,2025-11-01
CMP-720613,NXT-110943,2024-07-08,"Loyalty Campaign",Discount,20.14,Phone,Yes,"Requested More Info",No,No,2.20,2024-08-06
CMP-718631,NXT-109898,2025-04-03,"High Value Customer","Device Upgrade",67.24,"App Notification",Yes,Interested,Yes,No,35.34,2025-04-14
CMP-710922,NXT-105864,2025-05-24,"at risk","Bonus Minutes",234.00,Whatsapp,Yes,"Not Interested",no,No,1.39,2025-05-31
CMP-714549,NXT-107759,2025-02-15,"High Value Customer","Bonus Minutes",422.00,Phone,Yes,Interested,Yes,Yes,59.73,2025-03-15
CMP-704746,NXT-102629,2025-06-13,"High Value Customer","Contract Upgrade",87.00,"App Notification",No,,No,No,0.54,2025-06-22
CMP-725429,NXT-113520,2025-05-07,"At Risk","Free Data",NULL,"App Notification",Yes,Interested,No,No,0.83,2025-05-11
CMP-727728,NXT-114755,2025-01-25,"Contract Renewal","Free Upgrade",95.41,SMS,Yes,"Not Interested",No,Yes,1.11,2025-02-24
CMP-702561,NXT-101414,2025-03-24,"High Value Customer","Free Data",2.90,SMS,Yes,Interested,No,Yes,0.74,2025-04-23
CMP-715217,NXT-108113,2025-03-31,"HIGH VALUE CUSTOMER","Reduced Monthly Fee",11.96,Phone,Yes,"Not Interested",No,No,1.70,2025-04-09
CMP-705760,NXT-103154,2025-09-05,"Contract Renewal","Reduced Monthly Fee",13.33,Phone,Yes,Interested,Yes,Yes,2.02,2025-10-03
CMP-716293,NXT-108686,2025-04-03,"Loyalty Campaign","Reduced Monthly Fee",24.76,SMS,Yes,"Not Interested",No,Yes,2.18,2025-04-23
CMP-714177,NXT-107551,2025-11-29,"Network Recovery",Discount,18.68,Phone,Yes,Interested,Yes,No,27.73,2025-12-16
CMP-721585,NXT-111465,2025-07-29,"Contract Renewal","Reduced Monthly Fee",28.28,SMS,Yes,"Requested More Info",No,yes,1.11,2025-08-28
CMP-714202,NXT-107560,2024-07-30,"Loyalty Campaign","Contract Upgrade",NULL,"App Notification",No,,No,No,0.75,2024-08-16
CMP-721436,NXT-111374,2025-07-08,"Network Recovery",Discount,NULL,WhatsApp,Yes,"No Response",No,No,0.48,2025-07-30
CMP-724632,NXT-113126,2024-02-18,"Network Recovery","Free Upgrade",15.68,"App Notification",Yes,"No Response",No,No,0.43,2024-03-14
CMP-722664,NXT-112037,2025-08-29,"Win Back","Bonus Minutes",173.00,Phone,Yes,"Requested More Info",No,No,NULL,2025-09-11
CMP-713575,NXT-107230,2024-06-18,"High Value Customer","Contract Upgrade",76.54,Email,YES,"Not Interested",No,No,0.15,2024-06-22
CMP-725897,NXT-113764,2025-04-03,"Contract Renewal","Free Upgrade",40.82,WhatsApp,Yes,Interested,Yes,YES,15.98,2025-04-27
CMP-727961,NXT-114879,2025-07-25,"Contract Renewal","Device Upgrade",78.75,Phone,No,,No,Yes,2.74,2025-08-16
CMP-714199,NXT-107559,2025-02-23,"Loyalty Campaign","Free Upgrade",74.31,WhatsApp,Yes,"Not Interested",No,Yes,1.05,2025-03-24
CMP-719747,NXT-110491,2025-03-16,"Loyalty Campaign","Free Data",7.70,SMS,Yes,"Not Interested",No,No,1.88,2025-04-07
CMP-722382,NXT-111903,2024-02-10,"Loyalty Campaign","Device Upgrade",24.01,Email,Yes,"No Response",No,Yes,1.41,2024-03-09
CMP-708223,NXT-104474,2024-08-02,"Loyalty Campaign","Free Data",17.60,Phone,Yes,Interested,Yes,No,2.04,2024-08-17
CMP-708714,NXT-104730,2025-04-20,"Loyalty Campaign","Free Upgrade",81.38,"App Notification",Yes,"Not Interested",No,Yes,1.44,2025-04-26
CMP-718245,NXT-109696,2024-12-11,"Win Back","Device Upgrade",1.37,Phone,Yes,"Not Interested",No,No,1.06,2025-01-06
CMP-708594,NXT-104661,2025-05-10,"Win Back",discount,18.82,SMS,No,,No,No,0.24,2025-06-09
