Interaction_ID,Customer_ID,Interaction_Date,Support_Channel,Issue_Type,Issue_Category,Resolution_Status,Resolution_Time_Hours,Customer_Satisfaction_After_Interaction,Escalated,Complaint_Flag
INT-540300,NXT-110197,2025-08-15,App,"Network Problem",Network,Unresolved,1.80,34.00,No,Yes
INT-545249,NXT-111471,2024-10-13,Email,"Technical Problem",Technical,Resolved,3.50,35.00,No,No
INT-556540,NXT-114390,2025-09-20,Phone,"Technical Problem",Technical,Resolved,6.00,75.00,No,No
INT-544983,NXT-111397,2024-02-23,Phone,"Cancellation Request",Retention,Resolved,12.40,66.00,No,No
INT-505055,NXT-101278,2025-08-04,App,"Billing Issue",Billing,Pending,0.20,14.00,NULL,No
INT-517339,NXT-104398,2025-10-12,"Live Chat","Cancellation Request",Retention,unresolved,0.20,40.00,No,Yes
INT-556392,NXT-114354,2024-02-09,App,"Billing Issue",Billing,Resolved,0.50,65.00,No,No
INT-547143,NXT-111952,2024-08-09,Phone,"Data Problem",Technical,Resolved,3.30,43.00,No,Yes
INT-503451,NXT-100879,2025-10-29,Email,"Data Problem",Technical,Resolved,2.50,71.00,No,YES
INT-534801,NXT-108783,2025-08-30,Phone,"Network Problem",Network,Escalated,9.20,30.00,Yes,Yes
INT-530079,NXT-107574,2024-11-27,Email,"Network Problem",Network,Resolved,17.30,63.00,No,No
INT-519702,NXT-104976,2024-01-09,App,"Cancellation Request",Retention,Escalated,0.80,34.00,Yes,No
INT-550566,NXT-112846,2025-03-21,"Live Chat","Billing Issue",Billing,Pending,24.10,66.00,No,No
INT-534530,NXT-108723,2024-12-22,Phone,"Network Problem",Network,Resolved,11.50,53.00,No,Yes
INT-515822,NXT-103997,2025-09-21,"Live Chat","Technical Problem",Technical,Resolved,2.30,70.00,No,no
INT-516618,NXT-104207,2025-12-03,"Live Chat","Device Problem",Technical,Resolved,2.80,58.00,No,No
INT-543159,NXT-110932,2025-11-30,Phone,"Cancellation Request",Retention,Resolved,0.50,99.00,No,No
INT-507354,NXT-101839,2025-10-17,"Live Chat","Network Problem",Network,Resolved,8.90,NULL,No,No
INT-558373,NXT-114850,2024-08-13,Phone,"Network Problem",Network,Resolved,0.20,99.00,No,No
INT-504164,NXT-101061,2025-11-14,"Live Chat","Billing Issue",Billing,Resolved,4.40,72.00,No,Yes
INT-506759,NXT-101690,2024-11-30,App,"Data Problem",Technical,Resolved,10.20,82.00,No,No
INT-505853,NXT-101475,2025-03-10,Phone,"Network Problem",Network,Resolved,28.70,69.00,No,Yes
INT-524664,NXT-106229,2023-12-22,"Live Chat","Billing Issue",Billing,Resolved,19.60,49.00,No,No
INT-544905,NXT-111381,2023-09-19,"Live Chat","Technical Problem",Technical,Resolved,10.90,74.00,No,Yes
INT-523538,NXT-105940,2024-08-16,Phone,"Account Issue",Account,Pending,10.60,38.00,NULL,No
INT-532976,NXT-108326,2024-05-11,App,"Technical Problem",Technical,Resolved,0.20,15.00,No,No
INT-529649,NXT-107461,2023-10-23,"Live Chat","Device Problem",Technical,Resolved,0.70,66.00,No,No
INT-532016,NXT-108063,2023-07-10,"Live Chat","Billing Issue",Billing,Resolved,9.80,41.00,No,Yes
INT-552421,NXT-113330,2025-09-02,Store,"Network Problem",Network,Resolved,0.60,NULL,No,Yes
INT-535281,NXT-108904,2024-08-01,App,"Cancellation Request",Retention,Resolved,3.40,58.00,No,Yes
INT-558187,NXT-114802,2024-08-06,App,"Device Problem",Technical,Resolved,1.20,26.00,No,No
INT-518496,NXT-104678,2025-12-04,Email,"Service Activation",Account,Escalated,13.20,40.00,Yes,No
INT-542414,NXT-110740,2025-01-02,App,"Billing Issue",Billing,Resolved,2.10,61.00,No,No
INT-506377,NXT-101608,2025-09-06,App,"Network Problem",Network,Resolved,11.10,54.00,Yes,No
INT-506013,NXT-101513,2024-12-15,Email,"Cancellation Request",Retention,Pending,6.70,36.00,No,No
INT-550472,NXT-112825,2025-11-06,"Social Media","Network Problem",Network,Resolved,9.50,64.00,No,No
INT-558180,NXT-114799,2025-09-30,Phone,"Data Problem",Technical,Pending,2.90,51.00,No,No
INT-527534,NXT-106944,2025-08-29,"Live Chat","Device Problem",Technical,Resolved,2.70,NULL,No,Yes
INT-503382,NXT-100865,2024-07-31,Phone,"Network Problem",Network,Resolved,6.20,32.00,No,Yes
INT-526157,NXT-106619,2025-09-12,"Social Media","Technical Problem",Technical,Resolved,16.90,37.00,No,No
INT-533837,NXT-108538,2024-05-04,"Live Chat","Data Problem",Technical,Escalated,53.10,48.00,Yes,Yes
INT-533000,NXT-108333,2024-08-04,"Live Chat","Cancellation Request",Retention,Resolved,6.80,100.00,No,No
INT-520505,NXT-105170,2023-11-23,App,"Device Problem",Technical,Resolved,5.60,53.00,No,No
INT-524079,NXT-106074,2024-07-11,Phone,"Cancellation Request",Retention,Escalated,17.30,67.00,Yes,Yes
INT-546778,NXT-111863,2025-09-04,App,"Network Problem",Network,Resolved,0.50,64.00,No,No
INT-533643,NXT-108484,2024-12-12,Email,"Billing Issue",Billing,Pending,27.80,40.00,No,Yes
INT-511354,NXT-102853,2025-02-13,"Live Chat","Technical Problem",Technical,unresolved,5.40,27.00,NULL,No
INT-538884,NXT-109833,2025-03-04,Phone,"Billing Issue",Billing,Resolved,16.80,37.00,No,Yes
INT-536022,NXT-109083,2025-12-31,"Live Chat","Technical Problem",Technical,Resolved,NULL,55.00,No,No
INT-523634,NXT-105964,2025-11-27,Phone,"Data Problem",Technical,Resolved,0.40,45.00,No,No
INT-539193,NXT-109917,2024-04-02,App,"Device Problem",Technical,Resolved,0.20,74.00,No,Yes
INT-508643,NXT-102160,2025-10-13,Phone,Other,Other,Resolved,1.00,78.00,No,No
INT-507603,NXT-101905,2024-12-05,"Social Media","Service Activation",Account,Resolved,24.30,62.00,No,No
INT-522300,NXT-105642,2025-12-09,Phone,"Service Activation",Account,Resolved,5.80,54.00,No,no
INT-510900,NXT-102741,2025-08-02,"Live Chat","Technical Problem",Technical,Resolved,7.20,52.00,No,No
INT-523532,NXT-105939,2025-10-23,Email,"Network Problem",Network,Escalated,4.40,46.00,Yes,No
INT-509341,NXT-102340,2023-06-15,App,"Billing Issue",Billing,Unresolved,28.50,54.00,No,No
INT-548380,NXT-112279,2025-02-09,Email,"Account Issue",Account,Escalated,4.70,19.00,Yes,No
INT-509518,NXT-102381,2025-02-03,"Social Media","Network Problem",Network,Resolved,1.00,89.00,Yes,Yes
INT-535070,NXT-108852,2025-07-12,Store,Other,Other,Resolved,8.60,58.00,No,No
INT-517994,NXT-104562,2025-04-05,"Live Chat","Data Problem",Technical,Resolved,22.70,80.00,No,No
INT-514943,NXT-103787,2024-05-15,Phone,"Network Problem",Network,Resolved,0.50,69.00,No,Yes
INT-539105,NXT-109891,2025-08-12,"Live Chat","Technical Problem",Technical,Unresolved,38.50,45.00,No,No
INT-533995,NXT-108581,2025-12-24,"Live Chat","Account Issue",Account,Escalated,15.50,54.00,Yes,No
INT-505070,NXT-101283,2025-03-24,App,"Service Activation",Account,Resolved,5.30,91.00,No,No
INT-533942,NXT-108566,2025-12-19,App,"Device Problem",Technical,Resolved,5.10,50.00,No,Yes
INT-557037,NXT-114510,2024-10-26,App,"Technical Problem",Technical,Resolved,16.20,78.00,No,No
INT-552864,NXT-113440,2025-04-25,App,"Technical Problem",Technical,Unresolved,18.30,25.00,No,No
INT-548403,NXT-112287,2024-08-26,"Social Media","Technical Problem",Technical,Unresolved,24.90,40.00,No,No
INT-529154,NXT-107330,2025-09-23,Phone,"Billing Issue",Billing,Resolved,12.20,93.00,No,No
INT-546169,NXT-111703,2023-08-28,Email,"Network Problem",Network,Unresolved,7.10,30.00,No,Yes
INT-528626,NXT-107212,2025-08-15,Phone,"Cancellation Request",Retention,Resolved,0.50,99.00,No,No
INT-553477,NXT-113608,2025-07-28,Phone,"Billing Issue",Billing,Unresolved,19.90,82.00,No,Yes
INT-539692,NXT-110042,2025-06-04,App,"Device Problem",Technical,Resolved,9.80,82.00,No,No
INT-549427,NXT-112558,2023-12-18,Email,"Network Problem",Network,Resolved,1.60,96.00,No,No
INT-516381,NXT-104140,2025-02-23,Email,"Billing Issue",Billing,Escalated,41.90,34.00,Yes,No
INT-516742,NXT-104238,2025-05-20,Email,"Data Problem",Technical,Pending,8.50,63.00,Yes,No
INT-514736,NXT-103741,2025-06-12,Phone,"Technical Problem",Technical,Escalated,21.60,40.00,Yes,No
INT-551450,NXT-113089,2025-01-10,"Social Media","Device Problem",Technical,Unresolved,16.50,31.00,No,No
INT-511517,NXT-102901,2024-07-23,Phone,"Data Problem",Technical,Escalated,42.00,35.00,Yes,No
INT-530868,NXT-107773,2025-01-12,Phone,"Network Problem",Network,Resolved,38.10,32.00,No,Yes
INT-526964,NXT-106802,2024-01-01,"Live Chat","Technical Problem",Technical,Unresolved,100.30,66.00,No,No
INT-537033,NXT-109337,2025-02-03,Phone,Other,Other,Escalated,32.40,36.00,Yes,Yes
INT-508640,NXT-102159,2024-11-27,App,"Network Problem",Network,Resolved,0.70,54.00,No,Yes
INT-506777,NXT-101694,2025-01-06,"Live Chat","Billing Issue",Billing,Resolved,2.70,34.00,No,No
INT-541340,NXT-110480,2024-04-12,Phone,"billing issue",Billing,Pending,10.80,46.00,Yes,Yes
INT-530825,NXT-107762,2024-07-21,"Social Media","Account Issue",Account,Escalated,15.40,22.00,Yes,No
INT-523146,NXT-105846,2025-07-01,Store,"Technical Problem",Technical,Resolved,0.70,33.00,No,No
INT-542628,NXT-110797,2023-11-25,Phone,"BILLING ISSUE",Billing,Pending,15.30,1.00,No,No
INT-511977,NXT-103003,2025-06-27,App,"Cancellation Request",Retention,Resolved,1.10,50.00,No,No
INT-551206,NXT-113028,2025-07-17,Phone,"Network Problem",Network,Resolved,13.60,68.00,No,No
INT-511076,NXT-102785,2024-10-18,App,"billing issue",Billing,Resolved,1.40,82.00,No,Yes
INT-535334,NXT-108919,2024-08-27,"Live Chat","Network Problem",Network,Resolved,0.20,57.00,No,Yes
INT-500286,NXT-100069,2025-04-13,"Live Chat","Cancellation Request",Retention,Escalated,12.60,24.00,Yes,No
INT-558206,NXT-114807,2025-12-27,App,"Cancellation Request",Retention,Resolved,1.10,56.00,No,No
INT-542729,NXT-110822,2023-03-08,Email,"Network Problem",Network,Unresolved,6.90,8.00,No,No
INT-541945,NXT-110622,2025-03-27,Email,"Billing Issue",Billing,Unresolved,7.10,24.00,No,Yes
INT-526409,NXT-106677,2025-03-22,App,"Technical Problem",Technical,Unresolved,6.30,43.00,No,No
INT-521096,NXT-105322,2025-08-30,App,"Network Problem",Network,Pending,10.90,53.00,No,Yes
INT-517577,NXT-104456,2025-11-01,"Live Chat","Billing Issue",Billing,Unresolved,108.20,43.00,No,No
INT-553073,NXT-113495,2025-10-16,Phone,"Billing Issue",Billing,Unresolved,36.40,73.00,No,Yes
INT-528078,NXT-107082,2025-11-24,Phone,"Network Problem",Network,Resolved,3.00,89.00,No,Yes
INT-540414,NXT-110225,2025-05-18,Phone,"Billing Issue",Billing,Resolved,19.20,62.00,No,Yes
INT-508576,NXT-102142,2025-05-11,"Live Chat","Network Problem",Network,Resolved,7.90,73.00,No,Yes
INT-556031,NXT-114266,2025-03-04,"Live Chat","Account Issue",Account,Resolved,3.20,56.00,No,No
INT-521983,NXT-105555,2025-09-28,Email,"Service Activation",Account,Resolved,1.80,83.00,No,No
INT-536534,NXT-109221,2024-11-07,"Live Chat","Billing Issue",Billing,Resolved,1.90,28.00,No,No
INT-543888,NXT-111116,2024-04-14,"Live Chat","Network Problem",Network,Resolved,1.30,66.00,No,Yes
INT-525883,NXT-106549,2024-02-14,Phone,"Account Issue",Account,Resolved,0.40,27.00,No,No
INT-502957,NXT-100754,2025-04-07,Email,"Cancellation Request",Retention,Resolved,5.10,76.00,No,No
INT-536402,NXT-109188,2024-10-26,Email,"Account Issue",Account,Unresolved,12.40,1.00,NULL,No
INT-526922,NXT-106796,2024-06-10,Phone,"Network Problem",Network,Unresolved,0.80,24.00,No,Yes
INT-551717,NXT-113157,2023-04-29,App,"Device Problem",Technical,Resolved,8.90,62.00,No,No
INT-536878,NXT-109299,2025-11-22,Store,"Data Problem",Technical,Resolved,6.10,71.00,No,No
INT-519978,NXT-105043,2024-11-12,Store,"Technical Problem",Technical,Resolved,6.50,100.00,No,No
INT-509891,NXT-102474,2024-10-14,App,"Billing Issue",Billing,Resolved,2.30,35.00,No,No
INT-544916,NXT-111383,2023-09-30,"Live Chat","Technical Problem",Technical,Resolved,2.60,83.00,No,Yes
INT-509682,NXT-102420,2025-12-30,"Live Chat","Data Problem",Technical,Escalated,11.90,26.00,Yes,Yes
INT-537276,NXT-109402,2025-12-02,Phone,"Technical Problem",Technical,Unresolved,2.80,20.00,No,Yes
INT-558753,NXT-114949,2025-10-26,App,"Account Issue",Account,Resolved,1.70,80.00,No,YES
INT-529288,NXT-107371,2025-10-14,Store,"Cancellation Request",Retention,Resolved,4.40,61.00,No,No
INT-516555,NXT-104192,2024-11-15,"Social Media","Cancellation Request",Retention,Pending,1.80,22.00,No,No
INT-505262,NXT-101330,2023-07-31,Phone,"Technical Problem",Technical,Unresolved,27.30,25.00,No,No
INT-520963,NXT-105282,2025-04-22,Phone,"Billing Issue",Billing,Escalated,4.30,68.00,Yes,Yes
INT-527893,NXT-107032,2024-09-21,"Live Chat","Billing Issue",Billing,Pending,9.00,29.00,Yes,Yes
INT-551470,NXT-113094,2024-09-26,Phone,"Device Problem",Technical,Escalated,44.00,1.00,Yes,No
INT-518024,NXT-104569,2025-07-08,"Live Chat","Device Problem",Technical,Resolved,5.30,61.00,No,No
INT-534606,NXT-108737,2025-01-09,Email,"Network Problem",Network,Resolved,6.10,49.00,No,No
INT-544622,NXT-111303,2024-11-05,Phone,"Network Problem",Network,Unresolved,27.50,38.00,No,No
INT-535479,NXT-108954,2024-05-01,"Live Chat","Account Issue",Account,resolved,5.60,59.00,No,Yes
INT-522269,NXT-105636,2024-08-27,App,Other,Other,Resolved,1.30,86.00,No,No
INT-540188,NXT-110170,2025-01-20,"Live Chat","Billing Issue",Billing,Pending,2.60,39.00,No,no
INT-519094,NXT-104836,2025-10-24,Phone,"Device Problem",Technical,Resolved,NULL,72.00,No,No
INT-542065,NXT-110656,2025-10-25,Store,"Technical Problem",Technical,Resolved,0.20,77.00,No,NO
INT-509775,NXT-102440,2025-01-16,Store,"Network Problem",Network,Resolved,5.50,89.00,No,No
INT-514302,NXT-103630,2025-04-08,Email,"Billing Issue",Billing,Pending,9.70,17.00,No,No
INT-553044,NXT-113487,2025-01-10,Email,"Network Problem",Network,Resolved,12.40,56.00,Yes,Yes
INT-506190,NXT-101563,2024-09-24,"Social Media","Network Problem",Network,Resolved,1.80,44.00,No,No
INT-534175,NXT-108628,2025-01-29,Phone,"Data Problem",Technical,Resolved,8.20,83.00,No,No
INT-517904,NXT-104539,2024-07-08,Phone,"Technical Problem",Technical,Resolved,7.20,33.00,No,No
INT-502264,NXT-100590,2025-04-29,Phone,"Network Problem",Network,Resolved,5.90,100.00,No,Yes
INT-549493,NXT-112569,2023-07-15,App,"Billing Issue",Billing,Unresolved,11.30,23.00,No,No
INT-507153,NXT-101781,2024-12-08,Phone,"Device Problem",Technical,Escalated,28.00,45.00,Yes,Yes
INT-513909,NXT-103527,2024-12-27,App,"Data Problem",Technical,Resolved,4.90,98.00,No,No
INT-528363,NXT-107152,2023-08-26,Phone,"Cancellation Request",Retention,Unresolved,82.90,21.00,No,Yes
INT-552193,NXT-113274,2023-09-28,Phone,"Account Issue",Account,Resolved,NULL,45.00,No,No
INT-528529,NXT-107189,2024-01-25,App,"Data Problem",Technical,Pending,69.10,10.00,No,No
INT-508966,NXT-102245,2024-04-11,Phone,"Network Problem",Network,Resolved,1.30,78.00,No,No
INT-522446,NXT-105680,2025-06-13,Phone,"Account Issue",Account,Unresolved,7.10,43.00,No,No
INT-546025,NXT-111662,2024-12-31,Phone,"Network Problem",Network,Resolved,6.20,61.00,No,No
INT-528963,NXT-107291,2024-12-28,Store,"Network Problem",Network,Resolved,NULL,86.00,No,Yes
INT-553924,NXT-113731,2025-12-16,App,"Network Problem",Network,Escalated,12.40,43.00,Yes,No
INT-523497,NXT-105929,2024-07-03,Phone,"Cancellation Request",Retention,Resolved,1.80,73.00,No,No
INT-553774,NXT-113687,2025-10-28,Phone,"Network Problem",Network,Resolved,1.60,76.00,No,No
INT-526348,NXT-106664,2025-09-11,App,"Cancellation Request",Retention,Resolved,1.50,75.00,No,No
INT-531953,NXT-108043,2024-09-30,Phone,"Billing Issue",Billing,Unresolved,38.50,26.00,No,Yes
INT-532514,NXT-108198,2025-01-25,"Social Media","Network Problem",Network,Resolved,2.80,69.00,No,No
INT-520089,NXT-105073,2024-08-24,Email,"Network Problem",Network,Pending,8.70,32.00,No,No
INT-517328,NXT-104395,2025-04-10,Phone,"Account Issue",Account,Resolved,5.20,93.00,No,No
INT-535493,NXT-108957,2025-09-21,Email,"Technical Problem",Technical,Escalated,26.40,64.00,Yes,No
INT-515970,NXT-104034,2025-05-01,Phone,"Billing Issue",Billing,Resolved,5.40,64.00,No,Yes
INT-545707,NXT-111579,2025-07-06,"Social Media","Data Problem",Technical,Resolved,2.30,58.00,No,No
INT-543894,NXT-111118,2024-01-27,"Live Chat","Technical Problem",Technical,Resolved,7.00,50.00,Yes,No
INT-554582,NXT-113903,2025-01-31,Phone,"Device Problem",Technical,Unresolved,2.20,49.00,No,No
INT-505607,NXT-101412,2024-12-17,App,"SERVICE ACTIVATION",Account,Resolved,9.70,59.00,No,No
INT-539517,NXT-109998,2025-04-28,Email,"Cancellation Request",Retention,Resolved,7.40,92.00,No,No
INT-521353,NXT-105384,2024-11-02,Phone,"Data Problem",Technical,Pending,24.70,49.00,Yes,No
INT-529301,NXT-107374,2025-08-11,Phone,"Network Problem",Network,Resolved,3.70,95.00,No,No
INT-537759,NXT-109532,2025-10-08,Phone,"Billing Issue",Billing,Resolved,7.10,54.00,No,Yes
INT-523612,NXT-105959,2024-10-16,App,"Service Activation",Account,Resolved,15.40,86.00,No,No
INT-553138,NXT-113510,2025-06-10,"Live Chat","Network Problem",Network,Pending,7.50,41.00,No,Yes
INT-500349,NXT-100086,2025-03-13,App,"Data Problem",Technical,Escalated,9.40,45.00,Yes,No
INT-514145,NXT-103586,2024-07-01,Store,"Device Problem",Technical,Pending,1.10,12.00,No,No
INT-535020,NXT-108840,2025-03-18,Email,"Network Problem",Network,Resolved,4.00,9.00,No,No
INT-544547,NXT-111285,2023-04-18,Phone,"Data Problem",Technical,Resolved,2.80,100.00,No,No
INT-513303,NXT-103365,2024-09-26,App,"Billing Issue",Billing,Resolved,12.90,80.00,No,Yes
INT-558581,NXT-114902,2025-06-22,Email,"Network Problem",Network,Resolved,31.90,30.00,No,Yes
INT-520607,NXT-105193,2024-02-11,Phone,Other,Other,Pending,24.90,28.00,No,No
INT-543099,NXT-110921,2024-12-23,"Live Chat","Data Problem",Technical,Unresolved,17.50,25.00,No,No
INT-516505,NXT-104178,2024-12-18,"Social Media","Network Problem",Network,Resolved,8.50,46.00,No,No
INT-530703,NXT-107732,2025-09-14,Phone,"Technical Problem",Technical,Resolved,2.90,35.00,No,No
INT-528623,NXT-107212,2025-11-29,App,"Network Problem",Network,Resolved,3.20,82.00,No,Yes
INT-549218,NXT-112496,2023-04-12,App,"Network Problem",Network,Pending,5.20,25.00,No,No
INT-545358,NXT-111494,2025-06-23,"Social Media","Billing Issue",Billing,Resolved,17.40,29.00,No,Yes
INT-523311,NXT-105882,2025-03-08,App,"Data Problem",Technical,Escalated,5.50,41.00,Yes,Yes
INT-554882,NXT-113980,2025-11-13,Phone,"Technical Problem",Technical,Resolved,3.00,67.00,No,No
INT-501239,NXT-100315,2025-02-25,Email,"Network Problem",Network,Pending,13.30,48.00,No,Yes
INT-555642,NXT-114167,2024-03-03,"Live Chat","Billing Issue",Billing,Escalated,7.10,42.00,Yes,Yes
INT-549486,NXT-112568,2025-10-12,Phone,"Device Problem",Technical,Resolved,1.60,60.00,No,No
INT-524521,NXT-106185,2024-05-07,"Live Chat","Service Activation",Account,Resolved,5.60,73.00,No,No
INT-505570,NXT-101402,2025-05-17,"Live Chat","Billing Issue",Billing,Resolved,10.30,52.00,No,Yes
INT-513419,NXT-103395,2025-12-28,Phone,"Data Problem",Technical,Unresolved,17.60,15.00,No,No
INT-542934,NXT-110876,2025-06-12,"Live Chat","Network Problem",Network,Unresolved,40.30,39.00,No,Yes
INT-515351,NXT-103888,2025-02-24,App,"Account Issue",Account,Resolved,6.30,88.00,No,No
INT-519276,NXT-104876,2025-10-22,Store,"Cancellation Request",Retention,Resolved,0.20,66.00,No,No
INT-536435,NXT-109196,2024-10-13,"Live Chat","Account Issue",Account,Pending,4.10,49.00,Yes,No
INT-547643,NXT-112073,2025-03-20,"Live Chat","Account Issue",Account,Resolved,0.80,36.00,No,No
INT-541065,NXT-110401,2024-10-11,"Social Media","Billing Issue",Billing,Resolved,6.30,75.00,No,Yes
INT-540029,NXT-110132,2025-03-17,"Live Chat","Cancellation Request",Retention,Unresolved,11.30,24.00,No,No
INT-511629,NXT-102932,2025-11-20,"Live Chat","Billing Issue",Billing,Resolved,2.50,73.00,No,Yes
INT-557017,NXT-114505,2025-06-26,"Social Media","Account Issue",Account,Unresolved,0.20,1.00,NULL,No
INT-528572,NXT-107199,2024-04-20,App,Other,Other,Resolved,6.10,75.00,No,No
INT-500214,NXT-100047,2025-09-28,"Live Chat","Network Problem",Network,Resolved,0.40,91.00,No,Yes
INT-521081,NXT-105317,2025-09-18,Phone,"Service Activation",Account,Resolved,5.60,78.00,No,No
INT-518740,NXT-104740,2024-06-20,"Live Chat","Account Issue",Account,Resolved,12.30,100.00,No,No
INT-534798,NXT-108782,2025-12-02,Phone,"Device Problem",Technical,Pending,3.70,36.00,No,No
INT-534827,NXT-108789,2025-09-10,"Social Media","Network Problem",Network,Resolved,8.00,65.00,No,Yes
INT-511592,NXT-102922,2024-06-23,Phone,"NETWORK PROBLEM",Network,Escalated,62.30,52.00,Yes,Yes
INT-512952,NXT-103275,2025-03-26,"Social Media","Network Problem",Network,Resolved,1.80,55.00,No,No
INT-546108,NXT-111684,2023-07-18,Email,"Technical Problem",Technical,Pending,7.60,21.00,No,No
INT-531665,NXT-107967,2025-12-08,"Live Chat","Billing Issue",Billing,Escalated,NULL,3.00,Yes,No
INT-548728,NXT-112366,2024-02-29,"Live Chat","Billing Issue",Billing,Escalated,48.40,27.00,Yes,Yes
INT-548168,NXT-112221,2024-09-08,Phone,"Service Activation",Account,Unresolved,15.00,44.00,No,No
INT-536691,NXT-109261,2024-05-02,Phone,"billing issue",Billing,Resolved,3.10,44.00,No,Yes
INT-551983,NXT-113214,2025-04-24,Store,"data problem",Technical,Resolved,5.20,73.00,No,No
INT-513262,NXT-103355,2025-04-01,Store,"Cancellation Request",Retention,Resolved,3.10,66.00,No,No
INT-526430,NXT-106681,2023-04-01,Phone,"Billing Issue",Billing,Unresolved,34.00,19.00,No,Yes
INT-542420,NXT-110741,2024-10-29,App,"Data Problem",Technical,Resolved,4.50,100.00,No,No
INT-526259,NXT-106645,2024-09-15,"Live Chat","Billing Issue",Billing,Resolved,6.40,43.00,No,Yes
INT-546463,NXT-111771,2024-11-05,Phone,"Cancellation Request",Retention,Resolved,11.80,33.00,No,No
INT-553484,NXT-113611,2024-05-25,App,"Service Activation",Account,Escalated,14.50,55.00,Yes,No
INT-502081,NXT-100535,2025-06-21,Phone,"Data Problem",Technical,Resolved,1.40,81.00,No,No
INT-548587,NXT-112333,2025-01-26,App,"Network Problem",Network,Resolved,21.60,69.00,No,No
INT-501046,NXT-100262,2024-12-01,"Social Media","Technical Problem",Technical,Unresolved,1.30,67.00,No,Yes
INT-551617,NXT-113128,2024-03-22,"Social Media","Network Problem",Network,Resolved,0.90,71.00,No,No
INT-519255,NXT-104873,2025-04-04,App,"Network Problem",Network,Pending,5.10,19.00,No,Yes
INT-506198,NXT-101567,2024-06-08,"Social Media","Network Problem",Network,Resolved,32.40,50.00,No,Yes
INT-527845,NXT-107020,2024-11-03,"Social Media","Network Problem",Network,Resolved,20.60,57.00,No,Yes
INT-517684,NXT-104483,2025-03-19,Phone,"data problem",Technical,Pending,6.10,33.00,No,No
INT-532383,NXT-108163,2025-06-26,App,"Data Problem",Technical,Resolved,14.10,NULL,No,No
INT-521700,NXT-105473,2024-02-25,"Live Chat","Network Problem",Network,Resolved,3.10,57.00,No,Yes
INT-524089,NXT-106075,2023-11-07,"Social Media","Device Problem",Technical,Pending,NULL,31.00,No,No
INT-513153,NXT-103328,2024-02-09,Email,"Technical Problem",Technical,Resolved,4.50,96.00,No,No
INT-536706,NXT-109263,2025-11-30,App,"Account Issue",Account,Escalated,22.00,29.00,Yes,No
INT-518290,NXT-104629,2025-09-14,Phone,"Account Issue",Account,Resolved,4.00,96.00,No,No
INT-509705,NXT-102425,2025-07-19,Store,"Account Issue",Account,Resolved,6.10,43.00,No,No
INT-531267,NXT-107868,2025-11-26,"Live Chat","Technical Problem",Technical,Pending,12.30,1.00,No,No
INT-500004,NXT-100002,2024-10-21,"Live Chat","Billing Issue",Billing,Resolved,0.50,78.00,No,No
INT-521823,NXT-105516,2025-02-15,Store,"Technical Problem",Technical,Resolved,1.40,33.00,No,NO
INT-532092,NXT-108088,2025-04-25,"Social Media",Other,Other,Resolved,0.70,70.00,No,No
